method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,3,6,24,0.03462923401966691,0.2655127902030945,0.03462923401966691,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,7,25,0.019146003101792066,0.25158618450164794,0.019146003101792066,,,,,,,1.4300127155289572e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,7,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,8,26,0.014748133252793255,0.24712999844551087,0.014748133252793255,,,,,,,3.712887094594453e-06,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,8,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,9,27,0.016161066045364714,0.25141032552719117,0.016161066045364714,,,,,,,0.0,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,9,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,4,1,28,2.8705401873334546,0.2966953783025965,2.8705401873334546,,,,,,,9.996164380804483e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,4,2,29,0.22363881980847627,0.23202580784261226,0.22363881980847627,,,,,,,9.55111402123446e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,4,3,30,0.13801142353503432,0.2643608462810516,0.13801142353503432,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,4,4,31,0.07796603400504372,0.2640441000461287,0.07796603400504372,,,,,,,6.799760704097911e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,4,5,32,0.042918588681887276,0.2539796929359509,0.042918588681887276,,,,,,,4.902076315486023e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,4,6,33,0.026030252693129516,0.28855381798744567,0.026030252693129516,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
