method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,5,2,26,0.16500331780980113,0.1460249099135399,0.16500331780980113,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,5,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,5,3,27,0.09458681741943124,0.15323078352212907,0.09458681741943124,,,,,,,5.8671692881207665e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,5,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,5,4,28,0.05353343185098445,0.12411751693487168,0.05353343185098445,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,5,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,5,5,29,0.034733138973328484,0.13032783795893194,0.034733138973328484,,,,,,,8.223616450958865e-06,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,5,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,5,6,30,0.026651779995299874,0.12377842809259891,0.026651779995299874,,,,,,,0.0,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,5,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,1,1,1,1.7527407560186574,0.2648649595975876,1.7527407560186574,0.0,0.0,,,,,9.86480580696908e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,1,True,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.0,0.0,,,,,,,0.0,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,1,2,2,0.18605913265806728,0.1741650161743164,0.18605913265806728,0.0,0.0,,,,,8.430152761045664e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,2,True,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.0,0.0,,,,,,,0.0,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,1,3,3,0.11508613038258475,0.1616349697113037,0.11508613038258475,0.0,0.0,,,,,5.8671692881207665e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,3,True,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.0,0.0,,,,,,,0.0,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,1,4,4,0.07038376003228983,0.13799563502520323,0.07038376003228983,0.0,0.0,,,,,3.018935110253619e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,4,True,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.0,0.0,,,,,,,0.0,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,1,5,5,0.05086415144500368,0.15171554853022098,0.05086415144500368,0.0,0.0,,,,,8.223616450958865e-06,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,5,True,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.0,0.0,,,,,,,0.0,,"q_proj, v_proj"
