method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules,train_ce_loss,train_total_loss,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_ce_loss,val_total_loss,learning_rate
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,1,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.2311826759976765,3.114437344811747,0.8832546665147252,0.8832546665147252,,,,,,,0.8254652457180452,0.8559560527801514,,8.430152761045664e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,2,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.7724142543605117,1.761020239259376,0.9886059835308888,0.9886059835308888,,,,,,,1.3641716211871802,0.780918701171875,,3.018935110253619e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,3,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.7051748151302337,1.6707970975875854,0.9656222811698913,0.9656222811698913,,,,,,,1.4563509036965359,0.7775754375457764,,0.0
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,1,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.2702703382301643,3.095391453190443,0.825121112342744,0.825121112342744,,,,,,,0.7068998440845309,0.9128244638442993,,8.430152761045664e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,2,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.7894736480517466,1.731761763721216,0.9422881156694694,0.9422881156694694,,,,,,,1.2864613535112177,0.7940654292106628,,3.018935110253619e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,3,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.691855898475647,1.6127816535949706,0.9209257561683655,0.9209257561683655,,,,,,,1.4257878997614282,0.7842038578987122,,0.0
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,5,1,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.0391966932729106,2.778749858689191,0.7395531697244095,0.7395531697244095,,,,,,,0.8510113910704002,0.7191047372817994,,8.430152761045664e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,5,2,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.5960182969198853,1.429764597337754,0.8337463016392754,0.8337463016392754,,,,,,,1.491373288364597,0.6232746577262879,,3.018935110253619e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,5,3,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.5408875854492188,1.3556954782485962,0.8148078930854797,0.8148078930854797,,,,,,,1.5821709498430887,0.62530224609375,,0.0
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,1,1,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",1.3417462185543463,1.3417462185543463,,,0.0,0.0,,,0.0,,,0.2540390701442957,,8.430152761045664e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,1,2,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.1528027853027719,0.1528027853027719,,,0.0,0.0,,,0.0,,,0.1753596134185791,,3.018935110253619e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,1,3,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.09517956813573837,0.09517956813573837,,,0.0,0.0,,,0.0,,,0.15518861386179925,,0.0
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,2,1,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",2.0479956146835696,2.0562299687823864,,,0.00016468725283037662,0.008234362635274474,,,0.018835634653360706,,,0.3525737149715424,,8.430152761045664e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,2,2,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.1786597363314912,0.18498080702284808,,,0.0001264214104534791,0.006321070531810649,,,0.07528820476254366,,,0.23285710527002812,,3.018935110253619e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,2,3,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.10156385354995727,0.10277764771059156,,,2.427588543767456e-05,0.001213794273462554,,,0.03417413808234602,,,0.20832325744628907,,0.0
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,3,1,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",1.9742582927163805,1.982033656547288,,,0.00015550717963888432,0.0077753589773391085,,,0.01513255705783334,,,0.3501424398422241,,8.430152761045664e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,3,2,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.2536381259316304,0.2606923695287255,,,0.00014108486629098836,0.007054243308156118,,,0.042088154491761634,,,0.21192335557937622,,3.018935110253619e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,3,3,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.16802662982940675,0.16942004152089357,,,2.786823353353611e-05,0.0013934116779339093,,,0.016189805008431226,,,0.19025900936126708,,0.0
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,4,1,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",2.3359534703865767,2.3604213468328044,,,0.0004893575659526265,0.02446787830297814,,,0.025189562053161706,,,0.6086646115779877,,8.430152761045664e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,4,2,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.3807948640135468,0.4009973399707528,,,0.0004040495060254499,0.02020247527321831,,,0.06833114545745458,,,0.37019349694252013,,3.018935110253619e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,4,3,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.24226266121864318,0.24565457076430322,,,6.783818136804029e-05,0.0033919090662984674,,,0.020439768817955766,,,0.31948638916015626,,0.0
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,5,1,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",1.925409912685033,1.9377326973867885,,,0.0002464556641353156,0.012322783210767706,,,0.03125832059074061,,,0.30300933825969695,,8.430152761045664e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,5,2,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.17127056059534432,0.18309244016093798,,,0.00023643759540406238,0.011821879777049677,,,0.12577224246595292,,,0.1833552628159523,,3.018935110253619e-05
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,5,3,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.0976668200969696,0.09984492221027613,,,4.3562041766142554e-05,0.0021781020839658593,,,0.050316334469321364,,,0.15207962787151336,,0.0
rank_extension_orth_delta_trace_lam_50_kd_T1,RankExt + DeltaTrace + KD T1,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,1,1,True,1.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",1.3417462185543463,1.3417462185543463,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.2540390701442957,,8.430152761045664e-05
rank_extension_orth_delta_trace_lam_50_kd_T1,RankExt + DeltaTrace + KD T1,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,1,2,True,1.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.1528027853027719,0.1528027853027719,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.1753596134185791,,3.018935110253619e-05
rank_extension_orth_delta_trace_lam_50_kd_T1,RankExt + DeltaTrace + KD T1,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,1,3,True,1.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",0.09517956813573837,0.09517956813573837,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.15518861386179925,,0.0
