method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,seed,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,3,7,25,0.05586266966506106,0.17590581488609314,0.05586266966506106,,,,,,,1.4300127155289572e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,7,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,8,26,0.04441472406758637,0.16922400903701781,0.04441472406758637,,,,,,,3.712887094594453e-06,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,8,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,9,27,0.04100689202342182,0.17566635513305665,0.04100689202342182,,,,,,,0.0,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,9,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,1,28,3.534522008632482,0.6709017331600189,3.534522008632482,,,,,,,9.996164380804483e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,2,29,0.4030592182620627,0.30662261581420897,0.4030592182620627,,,,,,,9.55111402123446e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,3,30,0.21439345522982176,0.28524995982646945,0.21439345522982176,,,,,,,8.430152761045664e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,4,31,0.147116127317069,0.2790680274963379,0.147116127317069,,,,,,,6.799760704097911e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,5,32,0.10233300496503467,0.2613984370082617,0.10233300496503467,,,,,,,4.902076315486023e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,6,33,0.07350862444908984,0.2741270301332697,0.07350862444908984,,,,,,,3.018935110253619e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,7,34,0.05149585757076313,0.2776663205605,0.05149585757076313,,,,,,,1.4300127155289572e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,7,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,8,35,0.03968726974858551,0.2850565903224051,0.03968726974858551,,,,,,,3.712887094594453e-06,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,8,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,9,36,0.04037189043350518,0.2823898119945079,0.04037189043350518,,,,,,,0.0,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,4,9,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,5,1,37,3.4729732490600425,0.5048506467342376,3.4729732490600425,,,,,,,9.996164380804483e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,5,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
