method_name,display_name,step_id,epoch,train_ce,val_ce,train_val_gap,epoch_over_epoch_train_delta,epoch_over_epoch_val_delta,overfitting_signature,overfit_severity
rank_extension,RankExt,3,2,0.2358561729065707,0.1937674283981323,-0.042088744508438414,-1.7322554359842062,-0.12777575445175168,False,0.0
rank_extension,RankExt,3,3,0.153004037284851,0.1733098840713501,0.020305846786499077,-0.0828521356217197,-0.020457544326782207,False,0.0
rank_extension,RankExt,4,1,2.192163253815787,0.5298495488166809,-1.662313704999106,,,False,0.0
rank_extension,RankExt,4,2,0.3406305424258357,0.3460543061494827,0.0054237637236470015,-1.8515327113899511,-0.1837952426671982,False,0.0
rank_extension,RankExt,4,3,0.2121327994823456,0.3082778013944626,0.096145001912117,-0.1284977429434901,-0.03777650475502009,False,0.0
rank_extension,RankExt,5,1,1.9204843443880888,0.2490149078965187,-1.67146943649157,,,False,0.0
rank_extension,RankExt,5,2,0.1343701188231162,0.1870108718946576,0.052640753071541396,-1.7861142255649727,-0.06200403600186111,False,0.0
rank_extension,RankExt,5,3,0.0753028283774852,0.1596529998630285,0.0843501714855433,-0.059067290445631,-0.027357872031629094,False,0.0
rank_extension_kd_only_T2,RankExt+KD,1,1,1.3417462185543465,0.2540390701442957,-1.087707148410051,,,False,0.0
rank_extension_kd_only_T2,RankExt+KD,1,2,0.1528027853027719,0.1753596134185791,0.022556828115807226,-1.1889434332515747,-0.0786794567257166,False,0.0
rank_extension_kd_only_T2,RankExt+KD,1,3,0.0951795681357383,0.1551886138617992,0.06000904572606089,-0.057623217167033586,-0.020170999556779923,False,0.0
rank_extension_kd_only_T2,RankExt+KD,2,1,2.5859354415423743,1.0789700922966003,-1.506965349245774,,,False,0.0
rank_extension_kd_only_T2,RankExt+KD,2,2,0.9010623895731128,1.0054028310775758,0.10434044150446298,-1.6848730519692614,-0.07356726121902457,False,0.0
rank_extension_kd_only_T2,RankExt+KD,2,3,0.8331560151100159,1.0143662099838258,0.18121019487380985,-0.06790637446309689,0.008963378906249986,True,0.008963378906249986
rank_extension_kd_only_T2,RankExt+KD,3,1,2.2311826759976765,0.8559560527801514,-1.3752266232175252,,,False,0.0
rank_extension_kd_only_T2,RankExt+KD,3,2,0.7724142543605117,0.780918701171875,0.008504446811363309,-1.4587684216371648,-0.0750373516082764,False,0.0
rank_extension_kd_only_T2,RankExt+KD,3,3,0.7051748151302337,0.7775754375457764,0.07240062241554268,-0.06723943923027798,-0.0033432636260986026,False,0.0
rank_extension_kd_only_T2,RankExt+KD,4,1,2.2702703382301643,0.9128244638442992,-1.3574458743858653,,,False,0.0
rank_extension_kd_only_T2,RankExt+KD,4,2,0.7894736480517466,0.7940654292106628,0.0045917811589162305,-1.4807966901784178,-0.11875903463363635,False,0.0
rank_extension_kd_only_T2,RankExt+KD,4,3,0.691855898475647,0.7842038578987122,0.09234795942306517,-0.09761774957609959,-0.009861571311950645,False,0.0
rank_extension_kd_only_T2,RankExt+KD,5,1,2.03919669327291,0.7191047372817994,-1.3200919559911108,,,False,0.0
rank_extension_kd_only_T2,RankExt+KD,5,2,0.5960182969198853,0.6232746577262879,0.02725636080640259,-1.443178396353025,-0.09583007955551148,False,0.0
rank_extension_kd_only_T2,RankExt+KD,5,3,0.5408875854492188,0.62530224609375,0.08441466064453118,-0.055130711470666505,0.0020275883674620854,True,0.0020275883674620854
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,1,1,1.3417462185543465,0.2540390701442957,-1.087707148410051,,,False,0.0
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,1,2,0.1528027853027719,0.1753596134185791,0.022556828115807226,-1.1889434332515747,-0.0786794567257166,False,0.0
