method_name,display_name,step_id,epoch,train_ce_loss,val_ce_loss,final_epoch_rel_train_improvement_pct,final_epoch_rel_val_improvement_pct,train_convergence_verdict,val_convergence_verdict
rank_extension,RankExt,5,3,0.0753028283774852,0.1596529998630285,43.959,14.629,still_improving,still_improving
rank_extension_kd_only_T2,RankExt+KD,1,1,1.3417462185543465,0.2540390701442957,,,,
rank_extension_kd_only_T2,RankExt+KD,1,2,0.1528027853027719,0.1753596134185791,,,,
rank_extension_kd_only_T2,RankExt+KD,1,3,0.0951795681357383,0.1551886138617992,37.711,11.503,still_improving,still_improving
rank_extension_kd_only_T2,RankExt+KD,2,1,2.5859354415423743,1.0789700922966003,,,,
rank_extension_kd_only_T2,RankExt+KD,2,2,0.9010623895731128,1.0054028310775758,,,,
rank_extension_kd_only_T2,RankExt+KD,2,3,0.8331560151100159,1.0143662099838258,7.536,-0.892,still_improving,converged
rank_extension_kd_only_T2,RankExt+KD,3,1,2.2311826759976765,0.8559560527801514,,,,
rank_extension_kd_only_T2,RankExt+KD,3,2,0.7724142543605117,0.780918701171875,,,,
rank_extension_kd_only_T2,RankExt+KD,3,3,0.7051748151302337,0.7775754375457764,8.705,0.428,still_improving,converged
rank_extension_kd_only_T2,RankExt+KD,4,1,2.2702703382301643,0.9128244638442992,,,,
rank_extension_kd_only_T2,RankExt+KD,4,2,0.7894736480517466,0.7940654292106628,,,,
rank_extension_kd_only_T2,RankExt+KD,4,3,0.691855898475647,0.7842038578987122,12.365,1.242,still_improving,converged
rank_extension_kd_only_T2,RankExt+KD,5,1,2.03919669327291,0.7191047372817994,,,,
rank_extension_kd_only_T2,RankExt+KD,5,2,0.5960182969198853,0.6232746577262879,,,,
rank_extension_kd_only_T2,RankExt+KD,5,3,0.5408875854492188,0.62530224609375,9.25,-0.325,still_improving,converged
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,1,1,1.3417462185543465,0.2540390701442957,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,1,2,0.1528027853027719,0.1753596134185791,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,1,3,0.0951795681357383,0.1551886138617992,37.711,11.503,still_improving,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,2,1,2.0479956146835696,0.3525737149715424,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,2,2,0.1786597363314912,0.2328571052700281,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,2,3,0.1015638535499572,0.208323257446289,43.152,10.536,still_improving,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,3,1,1.9742582927163803,0.3501424398422241,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,3,2,0.2536381259316304,0.2119233555793762,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,3,3,0.1680266298294067,0.190259009361267,33.753,10.223,still_improving,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,4,1,2.3359534703865767,0.6086646115779877,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,4,2,0.3807948640135468,0.3701934969425201,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,4,3,0.2422626612186431,0.3194863891601562,36.38,13.697,still_improving,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,5,1,1.925409912685033,0.3030093382596969,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,5,2,0.1712705605953443,0.1833552628159523,,,,
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,5,3,0.0976668200969696,0.1520796278715133,42.975,17.057,still_improving,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,1,1,1.3417462185543465,0.2540390701442957,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,1,2,0.1528027853027719,0.1753596134185791,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,1,3,0.0951795681357383,0.1551886138617992,37.711,11.503,still_improving,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,2,1,3.554916596768725,0.3066659469604492,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,2,2,0.1717663616430564,0.2205992546081543,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,2,3,0.1003545422255993,0.1892998695373535,41.575,14.188,still_improving,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,3,1,3.910981420214165,0.3972818431854248,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,3,2,0.2791257887590126,0.2382982997894287,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,3,3,0.1917188175201416,0.2040078601837158,31.315,14.39,still_improving,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,4,1,4.7242670122369415,0.5211646574735641,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,4,2,0.380000289902091,0.2881338271796703,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,4,3,0.2482895105361938,0.2661939125061035,34.661,7.614,still_improving,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,5,1,4.59721997988741,0.2762056581974029,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,5,2,0.1718177177714275,0.1263413867950439,,,,
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,5,3,0.1131686667144298,0.1233934020996093,34.134,2.333,still_improving,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,1,1,1.3417462185543465,0.2540390701442957,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,1,2,0.1528027853027719,0.1753596134185791,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,1,3,0.0951795681357383,0.1551886138617992,37.711,11.503,still_improving,still_improving
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,2,1,4.064092038988872,1.1401523418426514,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,2,2,0.9640354373415962,1.062737304210663,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,2,3,0.8839241713523864,1.051670166492462,8.31,1.041,still_improving,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,3,1,3.796695129473354,1.0713818378448483,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,3,2,0.9085854393536928,0.9081223154067992,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,3,3,0.8163730608940124,0.8946362323760987,10.149,1.485,still_improving,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,4,1,3.940158620501111,1.152529297351837,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,4,2,0.978172514086864,0.9142152104377748,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,4,3,0.8451557984352112,0.8870305166244506,13.598,2.974,still_improving,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,5,1,3.750305105250713,0.9428168950080872,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,5,2,0.7563821873703941,0.7371876215934754,,,,
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,5,3,0.6711154430389404,0.7189528799057007,11.273,2.474,still_improving,converged
